0.0161,	0.0076,	12.0255,	2017-05-30 15:11:48.193884
0.0113,	0.0034,	12.0425,	2017-05-30 15:11:48.197343
0.0161,	0.0034,	12.0391,	2017-05-30 15:11:48.200803
0.0129,	0.0076,	12.0527,	2017-05-30 15:11:48.204136
0.0113,	0.0035,	12.0561,	2017-05-30 15:11:48.207498
0.0161,	0.0079,	12.0459,	2017-05-30 15:11:48.210906
0.0193,	0.0039,	12.0459,	2017-05-30 15:11:48.214407
0.0145,	0.0074,	12.0493,	2017-05-30 15:11:48.217780
0.0081,	0.0048,	12.0459,	2017-05-30 15:11:48.221256
0.0226,	0.0061,	12.0425,	2017-05-30 15:11:48.224498
0.0177,	0.0076,	12.0561,	2017-05-30 15:11:48.227863
0.0161,	0.0076,	12.0629,	2017-05-30 15:11:48.231536
0.0145,	0.0066,	12.0289,	2017-05-30 15:11:48.234807
0.0145,	0.0058,	12.0595,	2017-05-30 15:11:48.238139
0.0177,	0.0040,	12.0459,	2017-05-30 15:11:48.241519
0.0097,	0.0079,	12.0493,	2017-05-30 15:11:48.244930
0.0145,	0.0040,	12.0357,	2017-05-30 15:11:48.248328
0.0177,	0.0031,	12.0425,	2017-05-30 15:11:48.251619
0.0177,	0.0063,	12.0561,	2017-05-30 15:11:48.254995
0.0161,	0.0077,	12.0459,	2017-05-30 15:11:48.258412
0.0145,	0.0069,	12.0527,	2017-05-30 15:11:48.261776
0.0145,	0.0048,	12.0561,	2017-05-30 15:11:48.265250
0.0193,	0.0061,	12.0391,	2017-05-30 15:11:48.268599
0.0161,	0.0066,	12.0425,	2017-05-30 15:11:48.271911
0.0161,	0.0076,	12.0697,	2017-05-30 15:11:48.275367
0.0161,	0.0052,	12.0357,	2017-05-30 15:11:48.278751
0.0145,	0.0048,	12.0629,	2017-05-30 15:11:48.282133
0.0145,	0.0029,	12.0493,	2017-05-30 15:11:48.285504
0.0161,	0.0053,	12.0561,	2017-05-30 15:11:48.288978
0.0129,	0.0045,	12.0391,	2017-05-30 15:11:48.292294
0.0177,	0.0034,	12.0595,	2017-05-30 15:11:48.295656
0.0129,	0.0069,	12.0425,	2017-05-30 15:11:48.299082
0.0145,	0.0061,	12.0595,	2017-05-30 15:11:48.302411
0.0129,	0.0055,	12.0323,	2017-05-30 15:11:48.305758
0.0161,	0.0073,	12.0391,	2017-05-30 15:11:48.309147
0.0145,	0.0045,	12.0663,	2017-05-30 15:11:48.312469
0.0145,	0.0132,	12.0493,	2017-05-30 15:11:48.315903
0.0177,	0.0063,	12.0493,	2017-05-30 15:11:48.319359
0.0145,	0.0079,	12.0323,	2017-05-30 15:11:48.322688
0.0129,	0.0044,	12.0663,	2017-05-30 15:11:48.326034
0.0145,	0.0056,	12.0493,	2017-05-30 15:11:48.329480
0.0161,	0.0071,	12.0425,	2017-05-30 15:11:48.332910
0.0145,	0.0042,	12.0629,	2017-05-30 15:11:48.336211
0.0145,	0.0158,	12.0425,	2017-05-30 15:11:48.339555
0.0177,	0.0182,	12.0493,	2017-05-30 15:11:48.342906
0.0161,	0.0073,	12.0425,	2017-05-30 15:11:48.346369
0.0113,	0.0026,	12.0561,	2017-05-30 15:11:48.349748
0.0177,	0.0085,	12.0493,	2017-05-30 15:11:48.353105
0.0145,	0.0077,	12.0595,	2017-05-30 15:11:48.356478
0.0161,	0.0069,	12.0561,	2017-05-30 15:11:48.359877
0.0129,	0.0047,	12.0629,	2017-05-30 15:11:48.363381
0.0161,	0.0037,	12.0493,	2017-05-30 15:11:48.366945
0.0048,	0.0035,	12.0527,	2017-05-30 15:11:48.370149
0.0113,	0.0055,	12.0595,	2017-05-30 15:11:48.373516
0.0145,	0.0073,	12.0425,	2017-05-30 15:11:48.376883
0.0145,	0.0050,	12.0391,	2017-05-30 15:11:48.380355
0.0177,	0.0066,	12.0425,	2017-05-30 15:11:48.383741
0.0193,	0.0071,	12.0663,	2017-05-30 15:11:48.387160
0.0161,	0.0060,	12.0527,	2017-05-30 15:11:48.390506
0.0193,	0.0052,	12.0527,	2017-05-30 15:11:48.393907
0.0177,	0.0063,	12.0357,	2017-05-30 15:11:48.397398
0.0129,	0.0024,	12.0561,	2017-05-30 15:11:48.400932
0.0145,	0.0079,	12.0493,	2017-05-30 15:11:48.404116
0.0177,	0.0031,	12.0357,	2017-05-30 15:11:48.407503
0.0145,	0.0060,	12.0459,	2017-05-30 15:11:48.410872
0.0177,	0.0023,	12.0425,	2017-05-30 15:11:48.414344
0.0129,	0.0056,	12.0493,	2017-05-30 15:11:48.417756
0.0032,	0.0008,	12.0459,	2017-05-30 15:11:48.421095
0.0177,	0.0082,	12.0493,	2017-05-30 15:11:48.424464
0.0129,	0.0069,	12.0357,	2017-05-30 15:11:48.427868
0.0193,	0.0040,	12.0561,	2017-05-30 15:11:48.431345
0.0129,	0.0053,	12.0357,	2017-05-30 15:11:48.434788
0.0129,	0.0034,	12.0561,	2017-05-30 15:11:48.438115
0.0177,	0.0056,	12.0561,	2017-05-30 15:11:48.441482
0.0145,	0.0068,	12.0323,	2017-05-30 15:11:48.444893
0.0161,	0.0058,	12.0391,	2017-05-30 15:11:48.448351
0.0177,	0.0134,	12.0459,	2017-05-30 15:11:48.451779
0.0097,	0.0027,	12.0629,	2017-05-30 15:11:48.455160
0.0161,	0.0073,	12.0493,	2017-05-30 15:11:48.458526
0.0113,	0.0066,	12.0629,	2017-05-30 15:11:48.461925
0.0193,	0.0048,	12.0425,	2017-05-30 15:11:48.465674
0.0161,	0.0068,	12.0493,	2017-05-30 15:11:48.468733
